typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8647816192",,"8647816192","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","8","ALB","Albania","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1230",,"1230","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","24","AGO","Angola","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","23049",,"23049","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","32","ARG","Argentina","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","21661218",,"21661218","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","36","AUS","Australia","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37933128",,"37933128","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","40","AUT","Austria","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","174703408",,"174703408","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","44","BHS","Bahamas","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","7975",,"7975","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","48","BHR","Bahrain","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","27877",,"27877","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","50","BGD","Bangladesh","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","910621",,"910621","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","58","BEL","Belgium-Luxembourg (...1998)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","256633264",,"256633264","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","60","BMU","Bermuda","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","654",,"654","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","64","BTN","Bhutan","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","57398",,"57398","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9451258",,"9451258","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","76","BRA","Brazil","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","41036892",,"41036892","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","100","BGR","Bulgaria","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","12077718",,"12077718","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","116","KHM","Cambodia","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","50418",,"50418","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","120","CMR","Cameroon","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2617746",,"2617746","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","124","CAN","Canada","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","179485104",,"179485104","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","144","LKA","Sri Lanka","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","114019",,"114019","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","148","TCD","Chad","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2528",,"2528","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","152","CHL","Chile","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","357589",,"357589","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","156","CHN","China","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","157025856",,"157025856","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","170","COL","Colombia","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1953877",,"1953877","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","174","COM","Comoros","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38299",,"38299","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","178","COG","Congo","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4192400",,"4192400","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","211771",,"211771","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","188","CRI","Costa Rica","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2890810",,"2890810","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","192","CUB","Cuba","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","54257880",,"54257880","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","196","CYP","Cyprus","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3342616",,"3342616","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","200","CSK","Czechoslovakia (...1992)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","34160748",,"34160748","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","208","DNK","Denmark","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38372280",,"38372280","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","214","DOM","Dominican Rep.","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8626324",,"8626324","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","218","ECU","Ecuador","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1513877",,"1513877","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","230","ETH","Ethiopia (...1992)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","12709",,"12709","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","242","FJI","Fiji","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1621318",,"1621318","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","246","FIN","Finland","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","19359230",,"19359230","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","251","FRA","France","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2096931200",,"2096931200","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","254","GUF","French Guiana (Overseas France)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1516",,"1516","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","266","GAB","Gabon","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1620863",,"1620863","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","276","DEU","Germany","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","752087808",,"752087808","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","288","GHA","Ghana","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","353656",,"353656","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","300","GRC","Greece","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13901710",,"13901710","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","308","GRD","Grenada","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","454868",,"454868","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","312","GLP","Guadeloupe (Overseas France)","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","32683",,"32683","0","true","false",
"C","A","19920101","1992","52","1992","12","DZA","Algeria","M","Import","320","GTM","Guatemala","0","W00","World","H0","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","297471",,"297471","0","true","false",
